AGE EDUC MEDUC SIBS LWAGE TENURE URBAN SOUTH MARRIED
31 12 8 1 6.645091 2 1 0 1
37 18 14 1 6.694562 16 1 0 1
33 14 14 1 6.7153835297 9 1 0 1
32 12 12 4 6.47697258 7 1 0 1
34 11 6 10 6.331502 5 1 0 1
35 16 8 1 7.244227 2 1 0 1
30 10 8 1 6.39693 0 1 0 0
38 18 8 2 6.985642 14 1 0 1
36 15 14 2 7.05099 1 0 0 1
36 12 12 1 6.907755 16 1 0 1
38 18 13 1 6.8351845741 13 0 0 1
33 14 16 1 6.82546 11 0 0 1
30 15 12 2 6.802395 3 0 0 0
28 16 10 3 7.183871 2 1 0 1
34 16 12 1 7.491087 9 1 0 1
35 10 6 1 6.864848 2 1 0 1
36 15 12 3 7.21524 9 1 0 1
38 11 10 2 6.745236 10 1 0 1
29 14 12 3 6.7214255333 7 1 0 1
31 12 8 3 6.154858 7 1 0 1
31 14 12 0 7.1507015228 1 1 0 1
36 16 12 2 7.38709 4 1 0 1
38 12 10 5 6.771935463 3 1 0 1
38 16 12 2 7.667158 8 1 0 1
32 16 11 0 6.959399 7 1 0 1
29 16 16 3 7.379008 9 1 0 1
35 13 12 2 7.080027 5 1 0 1
35 18 8 0 6.684612 1 1 1 1
34 17 13 3 7.256297 4 1 0 1
36 18 16 2 6.453625 13 1 0 0
34 12 8 1 6.907755 2 1 0 1
35 14 12 1 7.261225 4 1 0 1
32 13 12 1 7.889084 2 1 1 1
38 18 18 2 6.50129 12 0 0 1
32 17 17 1 7.483807 9 1 0 1
31 13 8 3 6.661855 10 1 0 1
28 14 12 1 7.360104 5 1 0 1
31 13 15 0 7.149917 12 1 0 1
29 16 13 1 6.570883 2 1 0 1
36 18 12 1 6.985642 7 0 0 1
38 12 8 3 6.539586 11 1 0 1
33 17 12 1 7.183871 9 1 0 1
38 12 12 3 7.12206 4 1 0 1
38 13 10 3 6.934397 15 1 0 1
34 18 14 1 7.4662275314 12 1 0 1
35 14 12 3 6.888573 15 1 0 0
30 17 12 3 6.6463904381 11 1 0 1
33 16 12 1 7.05099 5 1 0 1
34 12 12 1 7.0518555641 5 1 0 1
38 13 12 2 6.694562 12 1 0 1
38 12 12 1 7.003066 14 1 0 1
37 18 12 2 7.05099 10 1 1 1
29 12 12 7 7.466799 9 1 0 0
30 16 12 1 6.907755 8 1 0 1
29 12 12 8 6.135565 1 1 0 1
32 18 11 1 6.645091 12 1 0 0
31 16 17 2 6.774224 3 0 0 0
29 12 12 4 7.226209 7 1 0 1
30 17 12 3 7.280697 7 1 0 1
35 12 6 1 6.684612 12 1 0 1
36 17 12 1 7.4662275314 7 1 0 1
29 12 12 3 7.0483865738 12 1 0 1
35 12 12 2 6.733402 13 1 0 1
38 12 12 0 6.885509491 2 1 0 1
37 12 NA 5 6.870053 15 0 0 0
28 12 9 8 6.428105 10 1 0 0
33 12 12 2 6.09131 0 1 0 1
38 15 12 3 6.39693 1 0 0 1
32 12 12 1 7.219642 15 1 0 1
33 18 12 2 7.404279 2 1 0 1
36 16 8 1 7.282761 13 1 0 1
38 18 12 2 7.745003 7 1 0 1
31 16 12 1 7.427739 11 1 0 1
33 12 11 1 7.118826 2 1 0 1
32 16 12 3 6.7511014938 4 1 0 1
35 16 12 2 6.9772815704 8 1 0 1
35 15 NA 3 6.946976 15 1 0 1
36 12 12 1 6.907755 15 1 0 1
31 15 14 3 6.514713 2 0 0 1
30 12 7 1 7.003066 1 1 0 1
31 12 12 2 6.903747 14 1 0 1
36 10 NA 5 6.59578 5 1 0 1
37 11 8 4 7.090077 3 1 0 1
29 15 12 3 7.434848 8 1 0 0
36 10 14 4 6.5308775902 3 1 1 1
32 13 8 1 6.625392437 5 1 0 1
33 10 NA 2 6.753438 15 1 0 1
30 13 12 1 6.723833 2 1 0 1
30 13 16 4 6.361302 1 0 0 1
34 12 12 2 6.510258 3 1 0 1
36 15 16 3 7.824046 9 1 0 1
31 12 16 1 6.981006 8 1 0 0
37 12 8 7 6.620073 3 1 0 1
33 17 12 1 7.0783414841 9 1 0 1
31 16 12 4 6.725034 7 1 0 1
30 12 10 3 6.47697258 11 1 0 1
38 12 NA 1 7.130899 16 0 0 1
31 15 9 3 7.022868 9 1 0 1
31 16 9 3 6.76273 11 1 0 1
29 16 9 3 6.694562 7 1 0 1
35 18 8 1 7.16935 12 1 0 0
36 12 9 5 6.805723 12 1 0 1
37 12 8 5 6.802395 15 1 0 1
35 12 9 4 6.437752 0 1 0 1
36 14 12 4 7.36897 1 1 1 1
38 10 9 1 6.869014 16 1 0 1
34 17 8 1 7.338888 8 1 0 1
33 12 12 5 7.0121154785 6 0 0 1
31 16 12 2 7.1561765671 6 1 1 0
38 12 10 1 6.6463904381 2 1 0 1
38 12 10 6 6.907755 0 1 0 1
38 9 NA 2 6.7968235016 16 0 0 1
32 10 8 5 7.094235 0 1 0 1
29 12 12 1 6.620073 10 0 0 1
38 13 12 3 6.4831075668 16 1 0 1
33 12 12 0 6.398595 3 1 0 1
28 13 8 6 6.39693 11 1 0 1
30 12 12 1 6.070738 10 1 0 0
30 12 12 3 7.080027 7 1 0 1
33 12 10 2 6.453625 15 0 0 1
32 13 12 0 7.110696 14 1 0 1
36 12 12 1 7.0483865738 19 1 0 1
32 12 9 3 6.76273 11 1 0 0
29 14 12 4 6.938284 5 1 0 1
32 12 12 3 6.955593 11 1 0 1
29 12 12 3 6.907755 1 1 0 1
30 13 16 1 7.007601 11 1 0 1
35 18 16 3 7.562161 7 1 0 1
38 16 12 1 7.204893 16 1 0 1
29 12 12 0 6.695799 10 1 0 1
32 18 9 3 7.309882 3 1 0 1
33 16 10 3 7.204893 1 0 0 0
31 12 12 3 7.090077 4 1 0 1
33 12 12 4 6.214608 0 1 1 1
28 12 12 1 7.189168 5 1 0 1
33 12 7 4 6.802395 5 1 0 1
34 12 7 6 6.684612 3 1 0 1
38 12 2 3 6.684612 7 1 0 1
36 12 14 14 6.94119 16 1 0 1
36 12 6 1 6.887553 12 1 0 1
34 10 7 2 6.784457 12 1 0 1
34 10 8 0 6.173786 5 1 0 0
34 18 12 1 6.827629 14 1 0 1
31 17 12 1 6.240276 5 1 0 0
37 11 8 2 7.007601 16 1 0 0
36 12 12 0 7.084227 10 1 1 1
34 18 16 4 7.926963 7 1 0 1
30 12 8 0 6.658011 6 1 0 1
31 11 12 2 6.856462 6 1 0 1
30 16 13 2 7.2399325371 8 0 0 1
33 17 12 3 7.309882 9 1 0 1
28 12 9 6 6.47697258 3 1 0 1
29 13 12 2 6.5072774887 5 1 0 1
32 16 12 1 7.026427 8 1 0 1
33 12 11 6 6.109248 1 1 0 0
37 12 12 3 6.9353704453 12 1 1 1
32 15 12 2 7.784889 0 1 0 1
36 18 10 0 7.549083 14 1 0 0
33 16 12 2 6.629363 9 1 0 1
29 14 12 2 7.130899 1 1 0 1
31 16 12 3 7.057898 11 1 0 1
29 15 14 6 6.932448 13 1 0 1
32 16 12 0 7.003066 12 0 0 1
28 16 10 4 6.570883 5 1 0 1
37 16 8 1 7.183871 17 0 0 1
38 18 12 3 7.252054 3 1 0 1
38 17 12 1 7.678789 4 1 0 1
36 14 12 1 7.149132 16 0 0 1
35 12 11 2 7.0387835503 15 1 0 1
30 13 12 1 6.359574 4 1 0 0
38 12 NA 4 6.848005 10 1 0 1
38 12 12 4 6.964136 8 0 0 1
29 14 11 1 6.620073 9 1 0 1
30 12 10 3 6.907755 6 1 0 1
30 12 12 4 6.857514 7 1 0 1
31 12 7 2 6.453625 2 1 0 1
34 12 11 3 7.130899 1 1 0 1
34 12 7 2 6.514713 15 1 0 1
32 12 7 4 5.9914646149 6 1 0 1
29 12 12 2 6.3578424454 8 1 0 1
29 13 12 2 6.380123 7 0 0 1
31 16 8 1 6.827629 10 0 0 1
32 12 11 4 7.130899 2 1 0 0
33 14 8 2 7.003066 8 1 0 1
37 12 10 4 7.029973 2 1 0 1
36 12 9 1 6.480044 4 1 0 0
30 12 8 3 6.4264883995 2 1 0 1
34 16 9 2 6.869014 14 1 0 1
32 13 12 1 6.2709884644 11 0 0 1
33 12 12 2 6.705639 14 0 0 1
32 16 18 0 6.869014 9 0 0 1
38 12 12 3 6.733402 15 0 0 1
28 16 12 1 6.763885 4 0 0 1
36 14 8 5 7.784889 1 1 0 1
32 12 9 6 7.026427 2 1 0 1
31 12 12 4 7.056175 8 0 0 1
38 12 9 1 6.583409 5 1 0 1
36 16 11 0 7.483244 13 1 0 1
36 18 11 0 7.551187 5 0 0 1
34 18 14 4 6.9177055359 14 1 0 1
37 17 16 1 6.878326416 11 1 0 1
34 12 10 2 6.263398 2 1 0 1
30 12 10 1 6.263398 13 0 0 1
30 12 12 5 6.5072774887 3 0 0 1
37 12 12 0 6.214608 4 0 0 1
34 14 NA 2 6.964136 15 0 0 1
35 12 12 1 6.3099184036 15 1 0 1
32 12 12 1 6.214608 1 1 0 1
31 15 12 1 6.588926 5 1 0 0
30 12 8 2 6.76273 8 0 0 1
30 13 12 3 6.985642 2 1 1 1
31 17 13 1 7.1731915474 9 0 0 1
30 13 13 1 6.35437 1 0 0 1
30 16 12 3 6.4345464706 1 0 0 1
28 13 12 3 6.244167 10 0 0 1
37 18 8 1 7.149132 4 1 0 1
33 13 16 4 6.897705 9 0 0 1
33 12 8 5 6.39693 6 0 0 1
38 12 16 4 7.056175 2 0 0 1
29 12 10 5 6.214608 9 0 0 1
35 12 10 2 6.678342 18 0 0 1
37 11 NA 2 6.214608 3 0 0 1
38 10 NA 5 6.60665 13 0 0 1
33 16 12 1 7.130899 7 1 0 1
30 16 12 1 6.921658 9 1 0 0
33 13 9 3 7.130899 3 1 0 1
29 14 9 3 6.816736 13 1 0 1
30 16 11 2 7.204893 8 1 0 1
38 10 NA 5 6.0980744362 0 0 0 1
37 12 NA 1 5.57973 2 1 0 1
28 14 12 1 7.130899 1 1 0 1
36 13 NA 2 7.382124 9 1 0 1
38 16 10 7 7.280697 15 1 0 1
32 12 11 1 7.237778 8 1 1 1
32 16 8 5 6.710523 2 1 0 1
29 16 11 1 6.6770834923 7 1 0 1
38 13 NA 4 6.214608 1 0 0 1
29 18 12 10 6.253829 3 0 0 1
37 18 12 1 7.455877 12 1 0 1
38 18 16 6 7.562161 10 1 0 1
37 18 14 3 7.0518555641 2 1 0 1
31 15 12 2 7.678789 4 1 0 1
31 14 8 1 6.827629 7 1 0 1
33 16 8 1 7.01661 13 1 0 1
30 12 NA 1 6.107023 2 1 0 0
34 12 12 2 7.3132205009 11 1 0 1
37 14 8 4 6.716595 3 1 0 1
35 12 12 3 6.842683 8 1 0 1
36 12 6 5 6.885509491 15 1 0 1
33 14 14 6 6.938284 12 1 0 0
30 12 12 4 7.148346 1 1 0 1
34 14 12 2 7.035269 12 1 1 1
36 12 NA 7 6.684612 12 1 0 1
33 12 12 0 7.199678 9 1 0 1
32 12 8 2 6.968851 12 1 0 1
29 12 8 2 6.840547 6 1 0 1
38 12 9 0 6.694562 13 1 0 1
30 10 8 3 5.926926 2 0 1 1
31 12 11 2 6.285998 8 1 0 0
29 12 11 2 6.9865665436 4 1 0 1
31 14 8 3 6.8351845741 1 1 0 0
38 17 12 3 7.0518555641 4 0 0 1
33 11 11 5 6.306275 0 1 0 1
33 16 12 0 6.43294 1 1 0 1
29 16 12 3 6.7345914841 1 1 0 1
38 18 9 2 6.645091 15 1 0 0
29 17 12 3 6.375025 5 0 0 1
38 16 12 1 7.562161 18 1 0 1
29 12 8 2 6.964136 3 1 0 1
28 12 12 1 6.033086 1 1 0 0
28 16 16 3 7.091742 6 1 0 1
37 14 10 1 7.05099 2 1 0 1
32 13 NA 0 6.975414 9 1 0 1
29 14 12 2 7.091742 11 1 0 1
36 18 10 1 6.566672 3 1 0 1
31 14 11 2 7.091742 5 1 0 1
28 12 8 1 6.745236 3 1 0 1
35 16 10 6 6.907755 11 1 0 1
31 18 12 2 6.1944055557 8 1 0 0
35 14 12 4 6.907755 4 1 0 1
31 16 8 4 6.76273 4 1 1 1
30 13 11 3 7.226209 3 1 0 1
37 16 16 4 7.36897 12 1 0 1
37 15 8 1 7.379008 14 1 0 1
36 14 12 1 8.032035 13 1 1 1
35 16 16 3 6.80017 9 1 0 0
37 14 12 5 6.809039 2 1 0 1
31 13 8 1 6.858565 10 1 0 1
29 13 8 5 6.347389 1 1 0 0
32 12 5 2 6.0980744362 13 1 0 0
30 12 5 2 5.6664266586 0 1 0 1
37 16 17 1 7.275172 15 1 0 1
36 12 8 3 6.869014 21 1 0 1
33 12 11 13 6.980076 10 1 0 1
35 11 NA 7 6.812345 5 1 0 1
35 12 11 4 7.130899 19 1 0 1
29 11 NA 11 6.4297194481 5 1 0 1
37 10 11 8 6.923629 15 1 0 1
37 10 11 8 6.684612 14 1 0 1
37 16 12 2 6.956545 18 1 0 0
36 12 8 5 6.98379 9 1 0 1
34 17 11 1 6.4831075668 13 1 0 1
30 12 12 2 6.660575 10 1 0 1
36 15 12 2 6.945051 2 0 1 1
37 16 16 0 7.562161 14 1 0 1
37 15 12 3 7.091742 17 1 0 1
32 15 NA 0 6.50129 2 1 0 1
36 14 8 3 6.807935 14 1 0 1
31 12 12 3 6.791222 8 1 0 1
31 16 16 1 6.705639 7 0 1 1
29 12 12 3 6.6995005608 2 1 0 0
30 14 14 2 6.3578424454 2 1 1 1
31 14 12 2 6.628041 2 1 0 1
37 12 NA 0 6.9186954498 7 1 1 1
34 12 12 2 7.0518555641 1 1 0 1
29 12 12 3 6.932448 7 1 0 1
35 12 NA 2 7.20786 12 0 0 1
37 12 8 1 6.908755 22 1 0 1
37 13 11 7 6.679599 15 1 0 1
30 13 10 3 7.1147694588 12 1 0 1
30 12 NA 5 6.625392437 1 1 0 1
37 12 12 5 6.570883 1 0 0 1
32 15 12 3 6.907755 3 1 0 1
33 16 14 2 7.633853 13 1 1 1
30 16 14 2 6.81564 5 1 0 1
30 12 8 6 6.39693 5 1 1 1
31 11 9 3 6.857514 1 1 0 1
32 16 13 3 6.566672 5 1 1 1
38 12 12 2 7.0483865738 9 1 0 1
28 12 13 2 6.907755 5 1 0 1
31 12 8 5 6.7345914841 10 1 0 1
32 12 5 3 5.9914646149 3 1 0 1
34 12 16 0 7.069024 14 1 0 1
37 12 12 0 7.091742 2 1 0 1
33 12 12 2 7.2737865448 17 1 0 1
34 18 13 2 6.2878584862 1 1 0 1
30 11 9 3 6.660575 10 1 0 1
30 10 11 4 6.620073 9 1 0 1
37 18 12 1 6.7345914841 1 1 0 0
38 13 11 1 6.55108 1 1 0 1
36 16 12 1 7.204893 4 1 0 1
33 12 10 3 6.684612 12 0 0 1
30 16 16 3 7.130899 10 1 0 1
29 16 12 3 7.007601 8 1 0 1
30 14 8 6 6.163315 1 1 0 0
33 15 11 2 6.635947 4 0 0 1
36 12 8 3 6.869014 19 1 0 1
